Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011376-85.2017.8.19.0000; 6009/17 E 6010/17.;;TJRJ;RI;DES. JOSE CARLOS MALDONADO DE CARVALHO;FENATEMA - FEDERAÇÃO NACIONAL DOS TRABALHADORES EM ENERGIA, ÁGUA E MEIO AMBIETE;ILMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face da Lei 7529 de 2017 do ERJ - Alienação CEDAE;Não foi julgado;Ainda não apreciado;Não;Dra. Denise;Larissa;03/05/2017: Nova vista MP;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0005084-84.2017.8.19.0000 ;5114/2017;;TJRJ;MS;Des. Antonio Carlos Nascimento Amado;Rejane de Almeida;PRESIDENTE DA ALERJ / GOV  ESTADO RIO DE JANEIRO;Alienação CEDAE;;;;;Larissa;Não concedeu a liminar em 14/02/2017 - 03/03/2017: Expedição de ofício;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0029968-77.2017.8.19.0001;Ainda Não Recebemos Ofício;;TJRJ - 5ª V.F.P;"Procedimento Comum
";;"PAULO SERGIO RAMOS BARBOZA
";"GOV ERJ/PRESIDENTE DA ALERJ
";Contra PL 2345/2017: ALIENAÇÃO DA CEDAE;;;;;Larissa;13/02/2017: Retorno da Conclusão ao Juiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0012937-74.2017.4.02.5102 ;4288/2017 ( observar ALERJ 3935/2017 );;JFRJ;AP;;Sérgio Luiz Rodrigues de Araújo;Governador e outros;Alienação CEDAE;;;;;Larissa;08/02/2017 Decisão-  INDEFIRO o pedido de tutela de emergência, pois não há risco de dano iminente ao patrimônio público;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0500463-17.2017.4.02.5101;3983/2017;;TJRJ;AP;;LUIZ ALEXANDRE SÁ FARIA;GOVERNADOR /PGE E ALERJ;"Ação Popular com pedido de liminar enaldita altera o pars.
Antigo número: 0031851-59.2017.8.19.0001 - Alienação CEDAE";;;;;Larissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0014366-79.2017.4.02.5101;;;TRF;AP;;Sueli Kolling ;Governador e outros;Alienação CEDAE;;;;;Larissa;"Declinou da competência em favor do Juízo da 1ª Vara Federal de Niterói. 
Foi redistribuído por dependência para o processo nº0012937-74.2017.4.02.5101
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0021844-08.2017.8.19.0001;ALERJ não é parte;;TJRJ;MS;;PEGADA FORTE INDÚSTRIA DE ARGAMASSAS LTDA. e outro(s)...;ESTADO DO RIO DE JANEIRO;"Com pedido de medida liminar inaudita altera parte, para que seja determinado à autoridade coatora que se abstenha de exigir das impetrantes o recolhimento 
do FEEF, instituido pela Lei 7.428/2016 e seu Decreto regulamentador.
";;;;;Acompanhamento Diário;03/02/2017: Juntada Petição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0012612-72.2017.8.19.0000;6823/2017;;TJRJ;RI;;FLAVIO NANTES BOLSONARO;GOVERNADOR, ALERJ;RI em face da Lei 7508/2016 (PL 2242/2016). Aumento alíquota ICMS.;;;;;Secretaria;05/04/2017: Oficio ALERJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"
0012598-88.2017.8.19.0000
";16730/2017;;TJRJ;MS;DES. REINALDO PINTO ALBERTO FILHO;"EBER SILVA
";EXMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Mandado de Sugurança visando investidura no cargo - Suplente Dep. Gil Manhães Vianna Júnior;Sem julgamento do mérito;Não apreciada;Não;Dra Fatima;Mariana;27/03/2017: Julg. Monocrático - Denegação d pedido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011451-27.2017.8.19.0000;6558/2017;;TJRJ;RI;DES. CARLOS SANTOS DE OLIVEIRA;FEDERAÇÃO DAS INDUSTRIAS DO ESTADO DO RIO DE JANEIRO - FIRJAN;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO;PROMOVIDA EM FACE DA LEI 7530 DE 2017 DO ERJ, QUE INSTITUI PISOS SALARIAIS NO ÂMBITO DO ESTADO DO RIO DE JANEIRO PARA AS CATEGORIAS PROFISSIONAIS QUE MENCIONA E ESTABELECE OUTRAS PROVIDÊNCIAS;;;;;Priscila;03/05/2017: GOV RJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0014806-45.2017.8.19.0000;ALERJ não é parte;;TJRJ;MS;;"MINISTERIO PUBLICO DO ESTADO DO RIO DE JANEIRO
";GOVERNADOR DO ESTADO DO RIO DE JANEIRO;"Requerendo repasse  mensal dos
duodécimos orçamentários ao Parquet fluminense, em observância
ao que dispõe a Lei Orçamentária Anual – Lei RJ nº 7.514/2017 (Duodécimo do Ministério Público)";;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5692;ALERJ não é parte - apenas decisões e pareceres;;STF;ADI;"MIN. ROSA WEBER
";"PROCURADOR-GERAL DA REPÚBLICA 
";"GOVERNADOR DO ESTADO DO CEARÁ 
/ ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ 
";Pormovida em face da Lei n° 12509, de 06 de dezembro de 1995, que dispõe sobre a Lei Orgânica do Tribunal de Contas do Estado e dá outras providências.;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0084936-57.2017.8.19.0001;ALERJ não é parte - apenas decisões;;TJRJ;ACP;;ASSOCIAÇÃO DOS SERVIDORES DO CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DO RIO DE JANEIRO ASCPDERJ;"CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DO RIO DE JANEIRO PRODERJ
Réu
FUNDO ÚNICO DE PREVIDÊNCIA SOCIAL DO ESTADO DO RIO DE JANEIRO RIOPREVIDÊNCIA
Réu
ESTADO DO RIO DE JANEIRO";Pagamento vencimentos dos servidores do PRODERJ;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5683;6859/2017;;STF;ADI;"MIN. ROBERTO BARROSO
";"REDE SUSTENTABILIDADE / PARTIDO SOCIALISMO E LIBERDADE (P-SOL) 
";"ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO  / GOVERNADOR ERJ
";"Promovida em face da  Lei  7529, de 07 de 2017, do ERJ, que autoriza o  Poder  executivo  a  alienar  ações
                                 representativas do capital social da  Companhia
                                 Estadual de Águas  e  Esgotos  -  CEDAE,  e  dá
                                 outras providências.
";;;;;Larissa;05/04/2007: Oficio GOV e ALERJ - COM CÓPIA DO DESPACHO E DA PETIÇÃO INICIAL - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5552;9270/2016;Não;STF;ADI;"MIN. EDSON FACHIN
";"PROCURADOR-GERAL DA REPÚBLICA 
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO/ GOVERNADOR DO ESTADO DO RIO DE JANEIRO 
";"Promovida em face do Art. 004°, inciso XIII, da n° Lei 2819, de  07  de  novembro  de  1997,  do
Estado do Rio de Janeiro; e a Resolução GPGJ n° 1221, de 05 de maio de  2004,  e as alterações feitas pelas Resolução GPGJ n° 1292, de 06 de abril 2005,  e  a Resolução GPGJ n° 1601, de 06  de  julho  de 2010,  todas  do  Procurador-Geral de Justiça do Estado do ERJ. Nos pontos em que disciplinam a cobrança de despesas operacionais na expedição de certidões, informações e cópias reprográficas pelo Ministério Público do Estado do Rio de Janeiro (MPRJ). Aquela, Cria Fundo Especial do Ministério Público - F.  E. M. P. e dá outras providências e esta, Dispõe sobre as normas sobre a  expedição e   cobrança   das   despesas operacionais   na expedição de certidão, informação e de cópia  reprográfica. ";OFICIO EXPEDIDO EXPEDIDO À ALERJ EM 01/07 ;Não;-;Dra. Denise Stsuko ;Sergio;20/09/2016: Vista ao PGR;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0021099-65.2016.8.19.0000;7784/2016;Não;TJRJ - OE;RI;"DES. FERNANDO FOCH DE LEMOS ARIGONY DA SILVA
";FEDERAÇÃO DO COMÉRCIO DE BENS SERVIÇOS E TURISMO DO ESTADO DO RIO DE JANEIRO FECOMÉRCIO RJ;"GOVERNADOR DO ESTADO DO RIO DE JANEIRO e
   PRESIDENTE DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO";Promovida em face da LEI N 7267/2016 INC II ART. 1º DO ERJ, que Institui pisos salariais no âmbito do ERJ para as categorias profissionais que menciona e estabelece outras providências a despeito da existência da Lei Federal 12.190/13 que regula  e determina que o piso salaria será fixado através de convenção ou acordo coletivo de trabalho, extrapolando os limites estabelecidos pela LC 103/2000, violando o art 72 da CE e o art 22, I e p.u da CF por invadir a compêtencia exclusiva da união para legislar sobre direto do trabalho.;-;Medica cautelar para suspender a eficacia da lei estadual 7267/2016 quanto ao piso salarial da categoria dos comerciários.;-;Dra. Fátima;Sergio; 15/03/2017: Despacho/ Decisao;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0086173-62.2017.4.02.5101 ;Ainda Não Recebemos Ofício;;"TRF - 05ª Vara Federal do Rio de Janeiro
";AP; FIRLY NASCIMENTO  FILHO;"AUGUSTO CÉSAR SANTOS DE SOUZA/ THAÍS DE ANDRADE RABELO / FLAVIO SUETH
NUNES";"UNIÃO FEDERAL/ ESTADO DO RIO DE JANEIRO / ASSEMBLEIA
LEGISLATIVA DO ESTADO DO RIO DE JANEIRO";"Objetivando que  suspendam a eficácia da lei que
permite a venda das ações da Cedae Lei 7,529/17 e o processo legislativo
Cadastrado por Fábio Augusto de Souza Borges em 28/03/2017 21:14. .
de votação das contrapartidas assinadas entre a União Federal e o
Governo do Estado do Rio de Janeiro";;;;;Larissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0015123-43.2017.8.19.0000;7311/2017;;TJRJ;RI;;"FNU FEDERAÇÃO NACIONAL DOS URBANITÁRIOS
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e outros
 / ALERJ";Promovida em face da LEI  7529 ;;;;;Larissa;05/04/2017: Pedido de Intervenção como AMICUS CURIAE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0042427-14.2017.8.19.0001;ALERJ não é parte;;TJRJ;Ação Civil de Improbidade Administrativa;;MINISTÉRIO PÚBLICO; LUIZ FERNANDO DE SOUZA ( Governador do ERJ);Promovida contra o Governador do Estado do Rio de Janeiro - Improbidade Administrativa;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33796 (junto com o MS 7701/2009);8944/2017;;STJ;Rcl;Min. OG FERNANDES ;CONFEDERAÇÃO DOS SERVIDORES PÚBLICOS DO BRASIL - C S P B;PRESIDENTE DO TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO / PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO / GOVERNADOR DO ESTADO DO RIO DE JANEIRO;"Reclamação em trâmite no STJ contra decisão proferida no MS 00476936320098190000
 - CSPB. Contribuição Sindical";;;;;Isabela;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5698;8618/2017;;STF;ADI;MIN. LUIZ FUX;"ASSOCIACAO NACIONAL DOS AUDITORES (MINISTROS E COSENHEIROS SUBSTITUTOS) DOS TRIBUNAIS DE CONTAS E OUTRO(A/S)
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO 
";"Promovida em face do  § 003º do art. 076-A da Lei Complementar n° 063, de 01  de  agosto  de  1990
(Lei Orgânica do Tribunal de Contas do Estado do Rio de Janeiro), que dispõe sobre a Lei  Orgânica  do  Tribunal  de Contas do Estado do Rio de e dá outras providências. (COMPOSIÇÃO/SUBSTITUIÇÃO CONSELHEIROS TCE/RJ)
";;;;;Priscila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34483;ALERJ não é parte;;STF;MS;;"TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO 
";"GOVERNADOR DO ESTADO DO RIO DE JANEIRO 
";"Mandado de segurança, com pedido de tutela de
urgência, impetrado pelo Tribunal de Justiça do Estado do Rio de Janeiro
(TJRJ) contra ato omissivo do Governador do Estado do Rio de Janeiro
consubstanciado no atraso do repasse dos recursos correspondentes às
dotações orçamentárias do Poder Judiciário, nos termos constitucionais. Autorização para utilização recursos do Fundo Especial do TJ -  Duodécimo TJ";;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0020021-02.2017.8.19.0000 ;8181/2017;Não;TJRJ-OE;RI;Des. Nilza Bitar;"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"EXMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO
";"Promovida em face da Lei 7457 de 2016 do ERJ, que versa sobre 
MODIFICA A LEI Nº 3189 DE 22 DE FEVEREIRO DE 1999 QUE INSTITUI O FUNDO ÚNICO DE PREVIDÊNCIA SOCIAL DO RIO DE JANEIRO E DÁ OUTRAS PROVIDÊNCIAS.
 LOTERJ - Recolhimento ao FEEF. Autoria.: Luiz Paulo, Lucinha";-;Concenção de medidade cautelar para suspender a eficacia da lei estadual nº 7457/2016;-;Dra. Denise Setsuko ;Sergio;11/09/2017 Certidão;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2865;ALERJ não é parte;;STF;ACO;MIN. LUIZ FUX;"ESTADO DO RIO DE JANEIRO 
";"UNIÃO / AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP 
";" Trata-se de ação cível originária, aparelhada com pedido
de tutela antecipada, ajuizada pelo Estado do Rio de Janeiro em face da
União e da Agência Nacional de Petróleo, Gás Natural e Biocombustíveis
– ANP, com base no art. 102, I, ‘f’, da CRFB/88";;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0022398-43.2017.8.19.0000;ALERJ não é parte;;TJRJ -OE;MS;"DES. ADRIANO CELSO GUIMARAES
";"MINISTERIO PUBLICO DO ESTADO DO RIO DE JANEIRO
"; GOVERNADOR DO ESTADO DO RIO DE JANEIRO /   SECRETARIO DE ESTADO DE FAZENDA E PLANEJAMENTO DO ESTADO DO RIO DE JANEIRO;"Visando regular fornecimento de 
alimentos aos presos do sistema prisional fluminense, mediante o pagamento
regular dos programas de desembolso";;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;7878/2017;;STF;ADO;;PROCURADOR GERAL DA REPÚBLICA;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Visando declarar a inconstitucionalidade da omissão da União e dos Estados, por meio dos órgãos indicados no preâmbulo, na regulamentação do art. 98, II da CRFB, com estipulação de prazo razoável. (Criação da Justiça de Paz).;;;;Dra Denise ;Priscila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0012071-39.2017.8.19.0000;ALERJ não é parte;;TJRJ;MS;DES. JOSE CARLOS MALDONADO DE CARVALHO;"PDT - PARTIDO DEMOCRATICO TRABALHISTA
";GOVERNADOR DO ESTADO DO RIO DE JANEIRO;Alienação da cedae - Termo de Compromisso ;;;;;Larissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
